,neighbourhood,latitude,longitude,room_type,price
23271,Vesterbro-Kongens Enghave,55.64943,12.52954,Entire home/apt,430
23272,Valby,55.66112,12.50207,Entire home/apt,450
23273,sterbro,55.7069,12.59379,Entire home/apt,2197
23274,Nrrebro,55.69309000000001,12.54339,Entire home/apt,976
23275,Amager st,55.64807,12.6321,Entire home/apt,998
23276,Amager Vest,55.63255,12.57905,Entire home/apt,1052
23277,Frederiksberg,55.67927,12.50897,Entire home/apt,600
23278,Amager st,55.65351,12.61307,Entire home/apt,498
23279,Indre By,55.68666999999999,12.58034,Entire home/apt,1501
23280,Bispebjerg,55.7054,12.52969,Private room,553
23281,Vesterbro-Kongens Enghave,55.67158000000001,12.55899,Entire home/apt,853
23282,Indre By,55.68431999999999,12.56644,Entire home/apt,1099
23283,sterbro,55.70716,12.58318,Private room,300
23284,Indre By,55.68283,12.57319,Entire home/apt,3001
23285,Frederiksberg,55.67879,12.49567,Entire home/apt,1201
23286,Valby,55.66178000000001,12.50927,Entire home/apt,598
23287,Amager st,55.66419000000001,12.61305,Entire home/apt,751
23288,Nrrebro,55.70227,12.54812,Entire home/apt,998
23289,Amager Vest,55.66589000000001,12.57509,Entire home/apt,1086
23290,Valby,55.64704,12.50209,Entire home/apt,1201
23291,Frederiksberg,55.68391,12.55343,Entire home/apt,951
23292,Vesterbro-Kongens Enghave,55.66613,12.53951,Private room,259
23293,Vesterbro-Kongens Enghave,55.66815,12.55252,Entire home/apt,998
