,latitude,longitude,price,neighbourhood_Amager Vest,neighbourhood_Amager st,neighbourhood_Bispebjerg,neighbourhood_Brnshj-Husum,neighbourhood_Frederiksberg,neighbourhood_Indre By,neighbourhood_Nrrebro,neighbourhood_Valby,neighbourhood_Vanlse,neighbourhood_Vesterbro-Kongens Enghave,neighbourhood_sterbro,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
103,55.692840000000004,12.54076,1141,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
104,55.68083000000001,12.536719999999999,747,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
105,55.66582,12.59675,998,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,55.70001,12.54819,652,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
107,55.68922,12.556460000000001,536,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
108,55.66562,12.61679,258,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
109,55.68424,12.554680000000001,482,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
110,55.68733,12.537339999999999,693,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
111,55.691,12.54495,747,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
112,55.700559999999996,12.54628,652,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
113,55.64119,12.604610000000001,944,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,55.66311999999999,12.599639999999999,550,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,55.69557,12.55026,1052,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
116,55.66789,12.49982,251,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
117,55.64451999999999,12.622069999999999,1793,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
118,55.70101999999999,12.54453,645,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
119,55.697309999999995,12.590010000000001,598,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
120,55.649640000000005,12.49823,1901,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
121,55.66765,12.54689,550,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
122,55.68779,12.563239999999999,998,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
123,55.70025,12.58499,550,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
124,55.666419999999995,12.55818,1799,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
125,55.687,12.559239999999999,625,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
126,55.71083,12.55696,1419,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
127,55.69323000000001,12.54288,699,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
128,55.666030000000006,12.55609,801,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
129,55.68616,12.587010000000001,598,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
130,55.66595,12.55637,713,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
131,55.680130000000005,12.52179,815,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
132,55.696490000000004,12.5475,890,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
133,55.70936999999999,12.5788,1202,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
134,55.698730000000005,12.55127,448,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
135,55.68611,12.58965,1501,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
136,55.6819,12.57419,788,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
137,55.69119,12.55959,550,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
138,55.694630000000004,12.5435,1073,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
139,55.66555,12.54947,672,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
140,55.66392,12.51909,788,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
141,55.68995,12.55824,1249,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
142,55.69263,12.5629,849,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
143,55.70276,12.58831,1501,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
144,55.70381,12.54826,1867,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
145,55.6706,12.537180000000001,1019,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
146,55.6476,12.548,2234,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
147,55.68759,12.55931,998,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
148,55.714659999999995,12.57367,1602,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
149,55.699259999999995,12.53727,699,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
150,55.70975,12.577,598,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
151,55.70636999999999,12.58015,401,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
152,55.6836,12.5652,998,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
153,55.68169,12.535210000000001,1765,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
154,55.6674,12.55082,808,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
155,55.67759,12.53909,1297,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
156,55.69282,12.54624,557,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
157,55.69152,12.51346,1012,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
158,55.66664,12.55707,815,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
159,55.6773,12.574639999999999,1297,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
160,55.6675,12.54696,862,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
161,55.66984,12.54866,652,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
162,55.704269999999994,12.58584,394,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
163,55.71408,12.57143,822,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
164,55.69226,12.56703,801,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
165,55.686809999999994,12.55953,652,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
166,55.698190000000004,12.57969,998,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
167,55.689080000000004,12.54695,475,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
168,55.69914,12.54843,747,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
169,55.66497,12.50201,971,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
170,55.66995,12.539769999999999,1019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
171,55.651630000000004,12.612860000000001,550,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
172,55.67876,12.590810000000001,1195,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
173,55.66791,12.599089999999999,849,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
174,55.69116999999999,12.545819999999999,815,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
175,55.69025,12.55396,1161,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
176,55.69894,12.54615,998,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
177,55.66457,12.49643,2682,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
178,55.67279,12.55987,1297,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
179,55.66406,12.57825,937,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,55.701280000000004,12.58901,998,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
181,55.68396,12.566360000000001,747,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
182,55.690540000000006,12.57163,849,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
183,55.669819999999994,12.54734,577,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
184,55.68473,12.59713,978,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
185,55.67646,12.589030000000001,1120,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
186,55.646840000000005,12.6066,1175,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,55.66628000000001,12.57743,550,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188,55.66376999999999,12.55286,1100,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
189,55.69435,12.571110000000001,1052,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
190,55.705709999999996,12.54975,502,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
191,55.67,12.54761,367,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
192,55.66672,12.58388,1202,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,55.70259,12.580789999999999,1120,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
194,55.686130000000006,12.55904,441,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
195,55.69395,12.53074,598,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
196,55.7027,12.57714,998,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
197,55.67225,12.55653,849,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
198,55.678180000000005,12.5391,842,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
199,55.657419999999995,12.60651,1093,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,55.673390000000005,12.54096,523,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
201,55.66809,12.5805,849,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,55.679030000000004,12.56686,896,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
203,55.708619999999996,12.57188,1351,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
204,55.669430000000006,12.54902,394,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
205,55.692840000000004,12.560960000000001,801,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
206,55.66711,12.54942,652,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
207,55.69161999999999,12.54734,801,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
208,55.67199,12.56057,699,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
209,55.67201,12.58874,2017,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
210,55.66919,12.54572,801,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
211,55.693540000000006,12.575239999999999,1602,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
212,55.64431,12.58917,767,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
213,55.701269999999994,12.57648,747,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
214,55.685109999999995,12.5365,767,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
215,55.663109999999996,12.625960000000001,577,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
216,55.709309999999995,12.58497,862,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
217,55.67616999999999,12.539069999999999,2153,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
218,55.6594,12.608239999999999,699,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
219,55.66978,12.54095,998,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
220,55.669340000000005,12.54641,849,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
221,55.697469999999996,12.55463,523,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
222,55.67009,12.54754,998,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
223,55.64573000000001,12.603589999999999,441,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,55.665569999999995,12.57943,598,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
225,55.699569999999994,12.58867,883,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
226,55.678290000000004,12.55373,502,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
227,55.6645,12.54808,903,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
228,55.69328,12.54251,448,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
229,55.6601,12.6035,570,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
230,55.66669,12.55775,1861,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
231,55.677330000000005,12.57365,1344,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
232,55.66891,12.55363,1202,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
233,55.7016,12.54466,224,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
234,55.671530000000004,12.55848,1012,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
235,55.66818000000001,12.57803,448,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
236,55.67135,12.58747,951,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
237,55.667280000000005,12.554789999999999,1202,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
238,55.66908000000001,12.58047,2614,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
239,55.66458000000001,12.547039999999999,713,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
240,55.68575,12.57048,733,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
241,55.669669999999996,12.545589999999999,564,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
242,55.71829,12.57385,876,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
243,55.66894,12.55258,964,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
244,55.69534,12.54092,401,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
245,55.69882,12.53749,353,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
246,55.66285,12.5804,1100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
247,55.71055,12.58125,801,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
248,55.69085,12.57742,1202,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
249,55.70156,12.552480000000001,699,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
250,55.698069999999994,12.583110000000001,998,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
251,55.664719999999996,12.557789999999999,903,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
252,55.68456,12.53908,903,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
253,55.69804,12.54505,1799,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
254,55.70121999999999,12.53247,598,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
255,55.67015,12.5603,747,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
256,55.70479,12.59073,502,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
257,55.694280000000006,12.5524,387,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
258,55.68271,12.56382,991,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
259,55.697990000000004,12.58075,1351,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
260,55.668440000000004,12.56198,693,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
261,55.67545,12.547789999999999,801,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
262,55.63448,12.581380000000001,699,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
263,55.66856,12.553410000000001,577,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
264,55.69263,12.56702,652,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
